cliente_id,nome,cidade,data_cadastro
1,Cliente_1,Betim,2023-03-04
2,Cliente_2,Uberlândia,2023-12-18
3,Cliente_3,Belo Horizonte,2023-08-19
4,Cliente_4,Betim,2023-08-29
5,Cliente_5,Betim,2023-02-21
6,Cliente_6,Uberlândia,2023-04-06
7,Cliente_7,Belo Horizonte,2023-08-10
8,Cliente_8,Belo Horizonte,2023-08-19
9,Cliente_9,Betim,2023-08-25
10,Cliente_10,Contagem,2023-05-23
11,Cliente_11,Betim,2023-06-20
12,Cliente_12,Betim,2023-01-29
13,Cliente_13,Betim,2023-02-05
14,Cliente_14,Betim,2023-01-13
15,Cliente_15,Uberlândia,2023-06-09
16,Cliente_16,Belo Horizonte,2023-11-23
17,Cliente_17,Uberlândia,2023-07-06
18,Cliente_18,Uberlândia,2023-08-31
19,Cliente_19,Uberlândia,2023-03-27
20,Cliente_20,Betim,2023-10-11
21,Cliente_21,Contagem,2023-03-07
22,Cliente_22,Belo Horizonte,2023-06-19
23,Cliente_23,Contagem,2023-02-14
24,Cliente_24,Uberlândia,2023-03-03
25,Cliente_25,Uberlândia,2023-05-14
26,Cliente_26,Contagem,2023-10-11
27,Cliente_27,Contagem,2023-01-28
28,Cliente_28,Contagem,2023-04-18
29,Cliente_29,Uberlândia,2023-02-13
30,Cliente_30,Uberlândia,2023-12-06
31,Cliente_31,Belo Horizonte,2023-10-13
32,Cliente_32,Belo Horizonte,2023-11-27
33,Cliente_33,Uberlândia,2023-05-08
34,Cliente_34,Contagem,2023-12-14
35,Cliente_35,Contagem,2023-08-19
36,Cliente_36,Belo Horizonte,2023-07-09
37,Cliente_37,Uberlândia,2023-08-13
38,Cliente_38,Belo Horizonte,2023-10-10
39,Cliente_39,Belo Horizonte,2023-05-01
40,Cliente_40,Betim,2023-04-26
41,Cliente_41,Betim,2023-08-21
42,Cliente_42,Betim,2023-09-16
43,Cliente_43,Contagem,2023-12-25
44,Cliente_44,Uberlândia,2023-07-17
45,Cliente_45,Uberlândia,2023-05-17
46,Cliente_46,Uberlândia,2023-11-14
47,Cliente_47,Uberlândia,2023-06-14
48,Cliente_48,Betim,2023-08-13
49,Cliente_49,Contagem,2023-11-03
50,Cliente_50,Contagem,2023-08-22
51,Cliente_51,Betim,2023-06-21
52,Cliente_52,Contagem,2023-06-01
53,Cliente_53,Betim,2023-11-11
54,Cliente_54,Uberlândia,2023-06-09
55,Cliente_55,Betim,2023-04-06
56,Cliente_56,Uberlândia,2023-08-21
57,Cliente_57,Uberlândia,2023-06-29
58,Cliente_58,Belo Horizonte,2023-04-23
59,Cliente_59,Betim,2023-11-14
60,Cliente_60,Belo Horizonte,2023-02-21
61,Cliente_61,Betim,2023-09-25
62,Cliente_62,Betim,2023-10-22
63,Cliente_63,Belo Horizonte,2023-04-23
64,Cliente_64,Belo Horizonte,2023-04-11
65,Cliente_65,Betim,2023-04-23
66,Cliente_66,Contagem,2023-03-22
67,Cliente_67,Uberlândia,2023-07-06
68,Cliente_68,Belo Horizonte,2023-04-23
69,Cliente_69,Uberlândia,2023-01-02
70,Cliente_70,Contagem,2023-05-10
71,Cliente_71,Contagem,2023-08-08
72,Cliente_72,Contagem,2023-02-23
73,Cliente_73,Belo Horizonte,2023-12-09
74,Cliente_74,Contagem,2023-08-12
75,Cliente_75,Belo Horizonte,2023-08-13
76,Cliente_76,Contagem,2023-05-06
77,Cliente_77,Uberlândia,2023-05-10
78,Cliente_78,Uberlândia,2023-02-22
79,Cliente_79,Betim,2023-06-21
80,Cliente_80,Uberlândia,2023-08-06
81,Cliente_81,Betim,2023-06-09
82,Cliente_82,Uberlândia,2023-07-17
83,Cliente_83,Belo Horizonte,2023-09-04
84,Cliente_84,Uberlândia,2023-11-20
85,Cliente_85,Betim,2023-07-22
86,Cliente_86,Betim,2023-07-03
87,Cliente_87,Contagem,2023-05-03
