item_id,pedido_id,produto_id,quantidade,preco_unitario
1,1,5,3,531.02
2,2,2,1,4683.97
3,2,4,1,2871.8
4,3,18,1,4342.01
5,4,20,2,2581.14
6,4,7,2,4950.77
7,4,7,3,4950.77
8,4,18,3,4342.01
9,5,6,2,3094.29
10,5,2,3,4683.97
11,5,7,2,4950.77
12,5,12,3,3500.23
13,6,13,3,3527.3
14,7,14,3,1829.48
15,7,3,3,3495.35
16,8,12,1,3500.23
17,9,6,1,3094.29
18,10,18,3,4342.01
19,10,18,1,4342.01
20,11,6,2,3094.29
21,11,19,1,4570.54
22,11,2,1,4683.97
23,11,15,3,1503.28
24,12,13,1,3527.3
25,12,20,2,2581.14
26,12,16,2,4056.34
27,13,13,1,3527.3
28,14,1,2,2806.17
29,15,10,3,4393.0
30,15,4,2,2871.8
31,15,11,1,3716.8
32,16,11,3,3716.8
33,16,11,3,3716.8
34,16,7,2,4950.77
35,16,12,1,3500.23
36,17,5,3,531.02
37,17,7,1,4950.77
38,17,13,3,3527.3
39,17,9,1,2615.73
40,18,14,2,1829.48
41,18,14,2,1829.48
42,18,6,2,3094.29
43,19,16,3,4056.34
44,19,15,3,1503.28
45,19,14,2,1829.48
46,20,17,1,4060.06
47,20,7,1,4950.77
48,21,2,1,4683.97
49,22,20,3,2581.14
50,22,17,3,4060.06
51,22,1,3,2806.17
52,23,3,3,3495.35
53,23,14,2,1829.48
54,23,17,1,4060.06
55,23,10,3,4393.0
56,24,2,3,4683.97
57,24,1,3,2806.17
58,24,7,3,4950.77
59,24,13,1,3527.3
60,25,14,2,1829.48
61,26,9,1,2615.73
62,26,20,1,2581.14
63,26,7,3,4950.77
64,26,2,3,4683.97
65,27,6,1,3094.29
66,27,15,2,1503.28
67,27,3,2,3495.35
68,27,16,1,4056.34
69,28,12,1,3500.23
70,29,15,1,1503.28
71,29,11,3,3716.8
72,30,1,1,2806.17
73,30,15,2,1503.28
74,31,4,3,2871.8
75,31,17,3,4060.06
76,31,5,2,531.02
77,31,4,3,2871.8
78,32,12,2,3500.23
79,32,8,3,743.42
80,33,9,1,2615.73
81,33,17,1,4060.06
82,33,13,2,3527.3
83,33,7,3,4950.77
84,34,11,2,3716.8
85,34,13,3,3527.3
86,35,16,1,4056.34
87,35,10,2,4393.0
88,35,16,3,4056.34
89,36,6,1,3094.29
90,36,9,1,2615.73
91,36,4,2,2871.8
92,37,17,3,4060.06
93,37,19,3,4570.54
94,37,6,3,3094.29
95,38,8,3,743.42
96,38,4,1,2871.8
97,38,14,3,1829.48
98,38,3,3,3495.35
99,39,6,3,3094.29
100,39,1,3,2806.17
101,39,18,1,4342.01
102,39,6,2,3094.29
103,40,9,1,2615.73
104,40,19,3,4570.54
105,41,13,1,3527.3
106,42,5,3,531.02
107,42,1,2,2806.17
108,43,7,3,4950.77
109,43,3,2,3495.35
110,43,2,1,4683.97
111,43,10,3,4393.0
112,44,11,1,3716.8
113,44,18,2,4342.01
114,44,1,2,2806.17
115,44,15,1,1503.28
116,45,2,2,4683.97
117,45,5,2,531.02
118,45,12,1,3500.23
119,45,3,3,3495.35
120,46,5,2,531.02
121,46,18,1,4342.01
122,47,11,1,3716.8
123,47,8,2,743.42
124,47,8,2,743.42
125,48,4,3,2871.8
126,49,9,1,2615.73
127,50,18,3,4342.01
128,50,11,2,3716.8
129,50,6,2,3094.29
130,50,1,2,2806.17
131,51,20,3,2581.14
132,52,1,1,2806.17
133,52,10,1,4393.0
134,52,20,1,2581.14
135,52,7,1,4950.77
136,53,14,2,1829.48
137,53,14,2,1829.48
138,53,3,1,3495.35
139,54,12,3,3500.23
140,54,1,3,2806.17
141,54,15,1,1503.28
142,54,5,1,531.02
143,55,17,2,4060.06
144,56,1,2,2806.17
145,57,11,3,3716.8
146,57,7,2,4950.77
147,57,13,1,3527.3
148,58,10,3,4393.0
149,58,7,1,4950.77
150,58,20,2,2581.14
151,58,3,3,3495.35
152,59,17,1,4060.06
153,59,1,2,2806.17
154,59,20,1,2581.14
155,60,8,3,743.42
156,60,12,1,3500.23
157,61,7,3,4950.77
158,61,18,1,4342.01
159,61,8,1,743.42
160,61,9,3,2615.73
161,62,5,1,531.02
162,62,6,2,3094.29
163,63,3,2,3495.35
164,63,3,2,3495.35
165,63,11,3,3716.8
166,63,13,3,3527.3
