pedido_id,cliente_id,data_pedido,valor_total
1,57,2024-05-27,2662.24
2,36,2024-01-11,2730.72
3,173,2024-05-09,5388.95
4,20,2024-04-28,7953.7
5,65,2024-05-19,5328.53
6,8,2024-01-20,4506.49
7,144,2024-01-05,5872.14
8,142,2024-02-06,3775.12
9,115,2024-06-14,575.12
10,143,2024-05-16,4542.14
11,92,2024-02-22,7665.24
12,98,2024-06-20,1484.89
13,66,2024-04-08,5551.04
14,32,2024-03-26,1687.38
15,191,2024-04-17,4333.04
16,86,2024-01-24,863.74
17,51,2024-03-21,3657.93
18,153,2024-06-06,6073.69
19,186,2024-04-29,2845.82
20,63,2024-02-28,5352.8
21,190,2024-05-07,6384.05
22,125,2024-04-23,7424.7
23,150,2024-04-24,1953.67
24,58,2024-01-14,3254.6
25,58,2024-01-09,1304.09
26,86,2024-02-09,7940.62
27,49,2024-01-25,7423.31
28,180,2024-04-12,4365.66
29,170,2024-01-22,6752.06
30,70,2024-01-04,4215.57
31,15,2024-06-02,5026.33
32,54,2024-01-29,804.08
33,188,2024-04-18,6066.64
34,101,2024-04-07,1108.94
35,8,2024-02-06,6625.93
36,53,2024-03-15,6278.02
37,60,2024-03-10,5699.08
38,108,2024-05-25,385.67
39,5,2024-05-07,2494.71
40,103,2024-03-25,2178.59
41,196,2024-02-11,2945.08
42,6,2024-04-09,792.38
43,109,2024-02-10,7501.97
44,116,2024-06-14,4475.04
45,94,2024-02-03,2513.64
46,47,2024-01-17,3236.15
47,99,2024-06-13,3632.9
48,55,2024-06-01,4844.7
49,168,2024-05-01,4173.87
50,52,2024-03-16,7363.2
51,144,2024-03-27,4026.01
52,13,2024-04-26,7938.05
53,114,2024-04-15,6826.26
54,124,2024-03-26,1747.23
55,106,2024-01-27,7451.7
56,158,2024-02-26,1019.29
57,147,2024-01-31,6557.85
58,145,2024-05-13,3106.92
59,120,2024-06-16,7036.0
60,63,2024-04-07,6957.65
61,19,2024-01-12,6466.81
62,92,2024-02-22,6341.24
63,58,2024-05-17,2506.97
64,183,2024-06-21,739.26
65,90,2024-05-24,3283.54
66,117,2024-06-02,1470.84
67,62,2024-05-01,5590.11
68,23,2024-02-15,2834.19
69,127,2024-03-04,7807.32
70,137,2024-05-09,5163.68
71,140,2024-02-23,6597.6
72,129,2024-04-16,1146.94
73,58,2024-02-20,6909.91
74,122,2024-02-05,7389.78
75,1,2024-04-24,3947.79
76,34,2024-01-26,4889.4
77,96,2024-01-29,6142.0
78,126,2024-05-28,1481.23
79,118,2024-01-11,4070.27
80,48,2024-02-09,3249.44
81,89,2024-01-11,1256.35
82,117,2024-06-12,3003.52
83,129,2024-04-22,638.56
84,16,2024-02-08,303.91
85,189,2024-02-23,1167.81
86,192,2024-04-07,7708.61
87,191,2024-02-24,4441.28
88,69,2024-04-20,7730.0
89,22,2024-05-31,3516.73
90,93,2024-05-29,2563.35
91,195,2024-03-09,4098.52
92,76,2024-02-25,3572.14
93,154,2024-02-02,934.75
94,144,2024-02-05,5162.53
95,179,2024-05-27,1806.7
96,86,2024-03-21,4994.74
97,185,2024-04-18,5236.59
98,29,2024-06-02,1301.0
99,69,2024-03-13,584.66
100,47,2024-02-09,6268.02
101,94,2024-01-17,3732.42
102,190,2024-05-08,559.49
103,197,2024-03-01,7959.44
104,144,2024-06-19,556.47
105,176,2024-04-13,5590.78
106,85,2024-02-11,7871.06
107,39,2024-01-25,1989.52
108,100,2024-02-08,1223.77
109,33,2024-02-04,1058.94
110,101,2024-05-10,2495.87
111,23,2024-04-17,898.26
112,10,2024-06-20,5568.07
113,69,2024-06-27,592.11
114,100,2024-04-11,4124.43
115,34,2024-04-07,7973.91
116,180,2024-01-12,6530.37
117,138,2024-01-19,4960.23
118,147,2024-04-10,2519.4
119,186,2024-02-13,5028.78
120,96,2024-02-18,4263.63
121,1,2024-01-17,3466.06
122,69,2024-03-14,1132.61
123,4,2024-02-26,7104.17
124,16,2024-02-24,3653.3
125,24,2024-02-16,1637.52
126,80,2024-01-12,3005.3
127,2,2024-03-02,3371.63
128,128,2024-03-20,6637.55
129,160,2024-03-23,5895.55
130,84,2024-01-08,6177.51
131,152,2024-05-28,187.15
132,140,2024-03-21,3387.62
133,178,2024-04-27,3902.62
134,163,2024-01-25,251.62
135,124,2024-03-29,2152.52
136,33,2024-01-12,6106.29
137,161,2024-05-22,1183.17
138,189,2024-02-28,4328.95
139,179,2024-06-02,1800.09
140,171,2024-04-18,195.75
141,101,2024-01-26,2005.49
142,12,2024-02-16,7809.4
143,67,2024-02-01,6432.14
144,65,2024-01-10,7680.66
145,161,2024-01-16,3954.05
146,168,2024-05-24,966.92
147,74,2024-05-30,4428.88
148,43,2024-01-26,3689.58
149,44,2024-03-26,6770.42
150,29,2024-05-14,874.85
151,141,2024-01-14,3957.1
152,12,2024-03-19,1285.38
153,95,2024-04-26,2664.94
154,46,2024-01-07,5925.12
155,130,2024-05-16,3860.54
156,35,2024-04-24,3069.52
157,81,2024-06-24,3216.36
158,90,2024-03-12,3729.63
159,8,2024-02-28,6301.63
160,93,2024-03-22,7147.47
161,154,2024-04-25,7647.14
162,90,2024-06-15,6316.54
163,162,2024-05-25,2591.71
164,115,2024-04-12,5536.26
165,105,2024-01-17,3557.06
166,135,2024-01-14,2111.9
167,196,2024-06-07,6742.89
168,58,2024-05-31,403.57
169,114,2024-04-17,7223.92
170,75,2024-02-14,3745.67
171,157,2024-04-07,5133.89
172,120,2024-05-10,5308.9
173,164,2024-02-06,7171.43
174,21,2024-06-19,5129.69
175,164,2024-06-16,4950.08
176,138,2024-04-17,626.55
177,101,2024-02-08,4195.42
178,152,2024-01-15,1286.34
179,192,2024-04-29,5925.73
180,177,2024-01-04,4146.55
181,99,2024-04-02,5473.8
182,36,2024-06-01,429.22
183,96,2024-05-20,769.86
184,152,2024-06-09,5758.95
185,151,2024-01-16,669.47
186,190,2024-06-18,662.93
187,37,2024-04-17,195.66
188,12,2024-05-05,7656.36
189,113,2024-02-24,5926.32
