produto_id,nome_produto,categoria,preco
1,Produto_1,Informática,2806.17
2,Produto_2,Eletrônicos,4683.97
3,Produto_3,Eletrônicos,3495.35
4,Produto_4,Acessórios,2871.8
5,Produto_5,Eletrônicos,531.02
6,Produto_6,Casa,3094.29
7,Produto_7,Casa,4950.77
8,Produto_8,Informática,743.42
9,Produto_9,Eletrônicos,2615.73
10,Produto_10,Informática,4393.0
11,Produto_11,Casa,3716.8
12,Produto_12,Eletrônicos,3500.23
13,Produto_13,Eletrônicos,3527.3
14,Produto_14,Informática,1829.48
15,Produto_15,Casa,1503.28
16,Produto_16,Eletrônicos,4056.34
17,Produto_17,Informática,4060.06
18,Produto_18,Casa,4342.01
19,Produto_19,Informática,4570.54
20,Produto_20,Acessórios,2581.14
